Interval0,Rythmic_Value0,Interval1,Rythmic_Value1,Interval2,Rythmic_Value2,Interval3,Rythmic_Value3,Interval4,Rythmic_Value4,Interval5,Rythmic_Value5,Interval6,Rythmic_Value6,Koleda
0,0.5276982,4.0,1.070917,-1.0,0.667383,1.0,1.1640402,-2.0,0.49665713,8.0,0.5432188,3.0,0.93123215,z_narodzenia_pana
0,1.1640402,-2.0,0.49665713,8.0,0.5432188,3.0,0.93123215,-2.0,1.1950812,0.0,1.6296563,2.0,0.8381089,z_narodzenia_pana
0,0.93123215,-2.0,1.1950812,0.0,1.6296563,2.0,0.8381089,-4.0,0.49665713,0.0,0.667383,-1.0,0.8381089,z_narodzenia_pana
0,0.8381089,-4.0,0.49665713,0.0,0.667383,-1.0,0.8381089,0.0,1.6141357,-2.0,0.91571164,0.0,0.8381089,z_narodzenia_pana
0,0.8381089,0.0,1.6141357,-2.0,0.91571164,0.0,0.8381089,-2.0,2.4212036,-1.0,0.93123215,0.0,0.5432188,z_narodzenia_pana
0,0.8381089,-2.0,2.4212036,-1.0,0.93123215,0.0,0.5432188,-1.0,0.5742598,1.0,0.5276982,0.0,0.7760268,z_narodzenia_pana
0,0.5432188,-1.0,0.5742598,1.0,0.5276982,0.0,0.7760268,1.0,0.94675267,3.0,0.49665713,4.0,0.49665713,z_narodzenia_pana
0,0.7760268,1.0,0.94675267,3.0,0.49665713,4.0,0.49665713,2.0,0.8070679,-2.0,1.0864376,0.0,1.3813277,z_narodzenia_pana
0,0.49665713,2.0,0.8070679,-2.0,1.0864376,0.0,1.3813277,-2.0,2.1883955,-1.0,0.7139446,1.0,0.49665713,z_narodzenia_pana
0,1.3813277,-2.0,2.1883955,-1.0,0.7139446,1.0,0.49665713,-1.0,0.8225884,-2.0,0.49665713,0.0,0.5276982,z_narodzenia_pana
0,0.49665713,-1.0,0.8225884,-2.0,0.49665713,0.0,0.5276982,0.0,1.1640402,-2.0,1.505492,-1.0,0.49665713,z_narodzenia_pana
0,0.5276982,0.0,1.1640402,-2.0,1.505492,-1.0,0.49665713,1.0,0.91571164,7.0,1.7693411,0.0,1.5520536,z_narodzenia_pana
0,0.49665713,1.0,0.91571164,7.0,1.7693411,0.0,1.5520536,-1.0,0.7605063,1.0,0.6053009,0.0,0.7139446,z_narodzenia_pana
0,1.5520536,-1.0,0.7605063,1.0,0.6053009,0.0,0.7139446,-2.0,0.9001911,-1.0,0.9001911,1.0,0.94675267,z_narodzenia_pana
0,0.7139446,-2.0,0.9001911,-1.0,0.9001911,1.0,0.94675267,-1.0,0.94675267,3.0,1.0243553,0.0,1.7538205,z_narodzenia_pana
0,0.94675267,-1.0,0.94675267,3.0,1.0243553,0.0,1.7538205,0.0,3.010984,-2.0,2.6229706,-1.0,1.4278892,z_narodzenia_pana
0,1.7538205,0.0,3.010984,-2.0,2.6229706,-1.0,1.4278892,-4.0,0.88467056,-1.0,0.5276982,0.0,0.49665713,z_narodzenia_pana
0,1.4278892,-4.0,0.88467056,-1.0,0.5276982,0.0,0.49665713,1.0,0.6208214,8.0,0.72946525,1.0,0.8225884,z_narodzenia_pana
0,0.49665713,1.0,0.6208214,8.0,0.72946525,1.0,0.8225884,-2.0,0.9001911,0.0,2.4988062,-2.0,1.101958,z_narodzenia_pana
0,0.8225884,-2.0,0.9001911,0.0,2.4988062,-2.0,1.101958,-1.0,0.91571164,0.0,1.101958,-2.0,1.7693411,z_narodzenia_pana
0,1.101958,-1.0,0.91571164,0.0,1.101958,-2.0,1.7693411,0.0,1.0553964,-2.0,1.4434098,0.0,0.72946525,z_narodzenia_pana
0,1.7693411,0.0,1.0553964,-2.0,1.4434098,0.0,0.72946525,0.0,1.536533,-1.0,0.88467056,1.0,1.8935053,z_narodzenia_pana
0,0.72946525,0.0,1.536533,-1.0,0.88467056,1.0,1.8935053,7.0,0.72946525,2.0,0.8381089,-2.0,0.96227324,z_narodzenia_pana
0,1.8935053,7.0,0.72946525,2.0,0.8381089,-2.0,0.96227324,0.0,1.0088348,0.0,0.5742598,-3.0,0.72946525,z_narodzenia_pana
0,0.96227324,0.0,1.0088348,0.0,0.5742598,-3.0,0.72946525,-2.0,0.49665713,1.0,0.58978033,-1.0,0.5276982,z_narodzenia_pana
0,0.72946525,-2.0,0.49665713,1.0,0.58978033,-1.0,0.5276982,0.0,0.5276982,0.0,0.8381089,-2.0,0.72946525,z_narodzenia_pana
0,0.5276982,0.0,0.5276982,0.0,0.8381089,-2.0,0.72946525,0.0,1.039876,-2.0,0.636342,2.0,0.8070679,z_narodzenia_pana
0,0.72946525,0.0,1.039876,-2.0,0.636342,2.0,0.8070679,-2.0,0.93123215,2.0,1.1950812,-4.0,0.49665713,z_narodzenia_pana
0,0.8070679,-2.0,0.93123215,2.0,1.1950812,-4.0,0.49665713,9.0,0.49665713,1.0,0.49665713,3.0,0.667383,z_narodzenia_pana
0,0.49665713,9.0,0.49665713,1.0,0.49665713,3.0,0.667383,-2.0,0.7605063,0.0,1.1640402,-2.0,1.505492,z_narodzenia_pana
0,1.3808283,5.0,1.3239706,7.0,0.56857634,-5.0,1.0153149,5.0,0.65792406,5.0,0.6010664,-5.0,0.6741691,medrcy_swiata
0,0.6010664,-5.0,0.6741691,0.0,0.91784465,0.0,0.77976185,21.0,0.31677827,-16.0,0.51984125,19.0,0.9584573,medrcy_swiata
0,0.51984125,19.0,0.9584573,-7.0,9.2840395,-13.0,0.56045383,15.0,3.313988,2.0,1.0396825,3.0,1.1940104,medrcy_swiata
0,1.0396825,3.0,1.1940104,-3.0,5.2877603,-2.0,4.150607,-2.0,0.8122519,-19.0,0.5442088,2.0,1.5838913,medrcy_swiata
0,0.5442088,2.0,1.5838913,0.0,2.1849577,2.0,4.345548,-2.0,2.0874875,0.0,1.3889508,-2.0,2.5423484,medrcy_swiata
0,1.3889508,-2.0,2.5423484,-1.0,0.7391493,1.0,0.5523313,0.0,1.4376858,2.0,0.27616566,1.0,0.25992063,medrcy_swiata
0,0.27616566,1.0,0.25992063,1.0,1.6163813,-2.0,1.250868,0.0,0.88535464,0.0,1.6407489,-2.0,1.0721725,medrcy_swiata
0,1.6407489,-2.0,1.0721725,-1.0,3.1515374,0.0,0.25992063,1.0,0.6741691,2.0,1.3970733,2.0,1.6326264,medrcy_swiata
0,1.3970733,2.0,1.6326264,1.0,0.422371,2.0,0.26804313,0.0,1.5838913,-1.0,2.282428,-4.0,0.3005332,medrcy_swiata
0,2.282428,-4.0,0.3005332,0.0,2.3717756,0.0,0.80412936,-3.0,1.1940104,1.0,1.8275669,-3.0,0.5523313,medrcy_swiata
0,1.8275669,-3.0,0.5523313,0.0,0.28428817,-2.0,0.27616566,1.0,0.25992063,1.0,2.842882,-2.0,0.85286456,medrcy_swiata
0,2.842882,-2.0,0.85286456,7.0,1.8925469,9.0,0.5035962,-21.0,0.4304935,8.0,0.422371,-11.0,0.49547368,medrcy_swiata
0,0.422371,-11.0,0.49547368,0.0,0.4629836,15.0,0.64980155,5.0,0.39800346,-12.0,0.5766989,-8.0,0.26804313,medrcy_swiata
0,0.5766989,-8.0,0.26804313,4.0,0.27616566,-8.0,0.37363586,4.0,0.2924107,8.0,1.2671131,-7.0,2.0387523,medrcy_swiata
0,1.2671131,-7.0,2.0387523,2.0,2.672309,2.0,0.30865574,0.0,0.37363586,10.0,0.8203744,-10.0,0.56045383,medrcy_swiata
0,0.8203744,-10.0,0.56045383,0.0,0.69041413,0.0,0.32490078,0.0,0.49547368,8.0,0.38988093,-3.0,1.0640501,medrcy_swiata
0,0.38988093,-3.0,1.0640501,5.0,1.9169146,-7.0,1.0071924,7.0,0.7066592,-7.0,0.3411458,2.0,0.31677827,medrcy_swiata
0,0.3411458,2.0,0.31677827,0.0,0.38175842,0.0,2.9159842,2.0,0.85286456,0.0,0.27616566,1.0,0.34926832,medrcy_swiata
0,2.7181299,-5.0,3.565547,3.0,2.07857,2.0,3.1818109,-2.0,0.607582,2.0,1.998625,-5.0,6.683402,bog_sie_rodzi
0,0.511648,1.0,2.382361,9.0,2.0146139,-9.0,4.109173,-3.0,2.030603,3.0,0.527637,-5.0,5.644117,bog_sie_rodzi
0,1.534944,-5.0,1.167197,-6.0,0.543626,2.0,0.511648,2.0,0.815439,1.0,0.527637,-1.0,0.59159297,bog_sie_rodzi
0,0.511648,-1.0,0.511648,0.0,1.263131,0.0,0.511648,0.0,1.311098,-3.0,0.511648,3.0,2.302416,bog_sie_rodzi
0,0.671538,0.0,3.549558,0.0,0.975329,-1.0,0.671538,2.0,0.511648,1.0,0.79945,0.0,0.511648,bog_sie_rodzi
0,0.751483,-5.0,1.726812,-2.0,1.662856,0.0,1.167197,-1.0,1.039285,-1.0,0.511648,2.0,0.575604,bog_sie_rodzi
0,0.511648,-1.0,2.8300529,6.0,0.543626,4.0,0.767472,0.0,0.543626,0.0,1.502966,-1.0,3.085877,bog_sie_rodzi
0,0.511648,1.0,0.59159297,0.0,0.543626,0.0,3.597525,-2.0,1.854724,-2.0,0.911373,0.0,0.527637,bog_sie_rodzi
0,0.511648,-1.0,0.559615,3.0,2.110548,1.0,0.511648,4.0,0.511648,1.0,0.511648,-5.0,0.527637,bog_sie_rodzi
0,0.543626,-1.0,1.039285,1.0,0.815439,-1.0,0.767472,0.0,0.511648,0.0,0.511648,0.0,0.671538,bog_sie_rodzi
0,0.6273067,17.0,0.77666545,-1.0,0.8065372,-9.0,0.9260242,1.0,1.19487,-3.0,0.5227556,1.0,0.8065372,polnoc_juz_byla
0,0.64224255,0.0,0.6721143,0.0,0.47794798,1.0,1.1351265,0.0,1.1799341,2.0,0.47794798,0.0,0.47794798,polnoc_juz_byla
0,0.95589596,0.0,1.5533309,-2.0,0.5078197,-2.0,1.2844851,8.0,1.075383,4.0,0.5227556,0.0,0.49288383,polnoc_juz_byla
0,0.6721143,-11.0,0.95589596,0.0,1.0455112,1.0,1.1649982,12.0,1.0305754,2.0,0.56756324,4.0,0.82147306,polnoc_juz_byla
0,0.68705016,1.0,0.64224255,-1.0,3.3307002,0.0,0.597435,-8.0,0.8364089,-2.0,0.7916013,-6.0,0.5526273,polnoc_juz_byla
0,0.70198613,5.0,2.5839062,0.0,4.52557,5.0,0.56756324,-1.0,0.597435,-1.0,0.8065372,-6.0,0.5376915,polnoc_juz_byla
